,Voltage,Omega,poles,Temperature,Current,powerFactor,Frequency,efficiency
150,445.1,104.3,2,326,8.2,0.8,307.72,59.03
151,453.9,93.8,3,317,11.8,0.8,307.72,55.86
152,425.2,81.1,2,327,8.6,0.5,314.0,58.18
153,469.0,85.6,2,319,9.9,0.6,314.0,56.66
154,475.1,98.4,3,325,10.6,0.8,307.72,71.93
155,413.4,109.0,3,328,11.4,0.7,314.0,71.58
156,477.0,93.9,2,330,7.7,0.7,314.0,63.65
157,446.4,87.7,3,322,8.1,0.8,314.0,75.62
158,440.4,99.4,3,324,10.4,0.8,314.0,68.1
159,409.7,106.3,3,332,12.3,0.6,314.0,74.02
160,441.4,104.7,3,325,10.7,0.8,314.0,74.43
161,471.8,80.8,3,331,12.3,0.5,307.72,72.27
162,468.2,84.8,3,315,10.9,0.6,307.72,73.81
163,472.8,118.3,2,332,11.1,0.8,314.0,53.17
164,455.0,118.0,2,328,11.2,0.8,307.72,57.78
165,465.1,89.5,2,324,9.6,0.6,314.0,58.61
166,467.4,111.5,3,329,10.4,0.7,314.0,91.71
167,420.2,88.9,2,319,10.4,0.5,314.0,56.03
168,419.6,111.8,2,328,12.7,0.6,314.0,59.7
169,438.8,101.7,2,324,8.9,0.6,307.72,72.12
170,472.0,82.9,3,326,11.7,0.6,314.0,65.59
171,469.1,92.7,3,320,12.9,0.5,314.0,83.68
172,450.9,88.1,3,334,9.7,0.7,314.0,65.79
173,401.1,88.0,3,321,12.1,0.5,307.72,77.45
174,450.6,119.5,2,317,8.5,0.8,307.72,82.63
175,414.5,107.2,2,322,9.8,0.5,314.0,85.71
176,428.2,102.7,2,316,11.0,0.5,314.0,66.85
177,432.3,82.7,3,333,12.2,0.6,307.72,59.66
178,426.8,110.0,2,328,9.1,0.7,307.72,64.19
179,466.0,97.6,3,333,10.8,0.6,307.72,90.28
180,474.7,84.9,3,323,10.8,0.6,307.72,80.77
181,434.6,111.4,3,325,12.7,0.6,307.72,93.62
182,466.0,83.1,2,321,10.9,0.5,314.0,58.52
183,422.3,114.5,3,334,12.3,0.6,314.0,87.5
184,455.2,95.2,3,325,12.0,0.5,314.0,93.41
185,473.2,101.5,3,322,11.2,0.6,307.72,93.87
186,477.4,84.5,2,329,8.7,0.6,307.72,58.14
187,437.0,88.7,3,325,8.9,0.7,314.0,74.47
188,405.1,104.0,2,317,8.7,0.7,307.72,63.27
189,403.0,110.1,2,325,9.7,0.5,307.72,85.46
190,454.8,91.5,2,330,11.6,0.5,307.72,64.33
191,416.8,113.0,3,325,12.3,0.6,307.72,92.76
192,402.2,104.1,2,315,8.5,0.8,314.0,54.87
193,461.8,90.8,3,317,10.2,0.8,314.0,65.36
194,436.0,91.3,3,327,9.5,0.7,314.0,76.98
195,445.4,81.5,3,320,10.8,0.5,307.72,82.57
196,406.4,99.3,3,331,10.2,0.6,307.72,87.03
197,459.1,97.5,2,329,8.4,0.8,314.0,60.11
198,468.7,84.4,3,329,9.7,0.5,307.72,98.91
199,439.2,85.5,3,322,8.9,0.7,307.72,78.81
200,455.5,100.3,2,320,10.8,0.6,314.0,58.86
201,419.0,99.8,3,334,12.7,0.7,314.0,62.17
202,436.3,106.4,2,317,12.0,0.6,314.0,55.78
203,441.9,84.1,3,319,11.4,0.8,314.0,52.01
204,417.2,84.3,2,334,8.8,0.5,314.0,62.51
205,424.1,81.6,2,318,10.8,0.5,314.0,50.03
206,474.2,111.6,2,325,7.2,0.7,314.0,98.78
207,465.1,103.9,3,317,11.9,0.6,307.72,95.28
208,458.0,105.1,2,322,7.8,0.8,307.72,70.94
209,468.0,99.2,2,328,9.9,0.7,307.72,61.77
210,460.6,104.1,3,332,12.8,0.8,307.72,59.34
211,430.8,90.4,2,316,10.2,0.5,307.72,65.72
212,431.5,91.3,3,333,11.3,0.5,314.0,84.62
213,417.7,103.2,3,330,8.0,0.8,314.0,86.14
214,431.1,98.3,2,321,9.8,0.7,314.0,54.53
215,457.6,108.0,2,324,11.8,0.6,307.72,63.72
216,467.2,98.9,3,317,12.5,0.8,307.72,59.82
217,450.0,99.3,2,323,8.4,0.7,307.72,66.73
218,478.3,110.0,2,322,10.8,0.5,307.72,89.82
219,411.7,110.2,3,318,11.3,0.7,307.72,77.18
220,454.8,109.7,2,318,8.1,0.6,314.0,89.81
221,443.2,86.0,2,328,7.6,0.7,307.72,63.11
222,429.8,103.2,2,326,9.8,0.5,314.0,75.03
223,403.0,110.9,2,320,8.2,0.7,314.0,68.88
224,466.9,108.1,3,322,8.7,0.8,314.0,96.44
225,457.9,88.3,2,330,8.9,0.7,307.72,57.78
226,408.6,106.4,3,324,11.0,0.8,314.0,63.1
227,407.8,105.2,3,333,10.7,0.6,314.0,83.5
228,479.1,106.0,3,324,10.8,0.8,314.0,78.5
229,440.2,117.8,3,317,12.1,0.8,307.72,79.08
230,478.8,115.8,2,326,12.6,0.5,307.72,88.4
231,472.3,94.3,3,331,9.0,0.7,314.0,83.49
232,444.0,115.0,2,332,9.9,0.5,307.72,99.73
233,469.3,110.1,3,317,12.5,0.6,307.72,95.98
234,439.3,85.2,3,318,9.5,0.7,314.0,69.62
235,473.6,102.0,2,319,8.8,0.5,307.72,96.38
236,452.9,109.4,2,330,10.9,0.7,307.72,58.53
237,472.9,112.9,2,334,12.6,0.5,307.72,79.14
238,414.0,109.0,2,325,8.9,0.5,314.0,86.32
239,412.8,111.9,2,319,8.0,0.7,314.0,72.77
240,456.3,101.0,3,330,11.8,0.6,314.0,83.35
241,444.9,103.9,3,331,11.1,0.7,307.72,79.36
242,456.7,103.8,2,324,8.1,0.8,314.0,66.45
243,417.0,100.5,2,317,7.3,0.6,314.0,88.82
244,449.8,109.1,2,329,10.4,0.7,314.0,62.0
245,435.1,82.4,3,319,12.1,0.6,307.72,58.83
246,435.5,80.2,3,332,12.4,0.6,307.72,54.93
247,407.9,114.1,2,331,9.4,0.5,307.72,93.71
248,410.4,91.1,3,334,10.8,0.8,307.72,56.83
249,430.2,117.5,2,325,12.1,0.5,314.0,76.5
250,414.3,102.9,2,332,10.4,0.7,314.0,50.13
251,434.0,89.1,3,325,10.7,0.5,314.0,91.0
252,413.0,107.3,2,322,8.3,0.7,314.0,72.76
253,437.9,118.4,3,317,11.6,0.8,307.72,80.78
254,463.9,101.9,3,330,12.1,0.7,314.0,74.76
255,427.3,106.7,2,328,11.2,0.5,307.72,76.09
256,414.4,95.7,3,320,12.8,0.8,307.72,51.37
257,472.3,100.0,3,333,8.6,0.8,307.72,86.32
258,447.0,90.1,3,326,7.2,0.7,307.72,99.37
259,410.9,112.6,3,315,11.3,0.8,314.0,70.61
260,435.0,103.1,2,327,8.0,0.5,314.0,92.55
261,459.7,95.4,3,333,10.5,0.6,314.0,88.07
262,440.2,118.3,2,318,7.6,0.7,307.72,95.5
263,443.7,116.1,3,324,10.4,0.7,307.72,97.58
264,403.6,112.3,2,316,9.9,0.7,314.0,64.57
265,408.2,97.7,2,325,12.7,0.5,314.0,51.6
266,442.8,106.3,3,329,11.3,0.6,314.0,90.44
267,463.9,85.6,2,316,9.2,0.5,314.0,68.76
268,469.2,85.5,3,322,12.4,0.5,307.72,77.38
269,453.5,111.0,2,327,11.0,0.5,314.0,79.73
270,473.7,112.9,2,327,9.1,0.6,307.72,91.25
271,409.5,115.9,3,317,11.1,0.7,307.72,85.41
272,454.2,95.2,2,316,7.8,0.8,307.72,64.91
273,426.5,90.7,3,324,10.0,0.6,314.0,75.2
274,437.7,99.7,3,332,12.1,0.7,314.0,67.17
275,477.1,98.8,3,332,12.3,0.5,314.0,92.55
276,415.1,80.5,3,334,11.9,0.6,307.72,59.5
277,413.8,112.1,3,333,8.9,0.8,307.72,92.01
278,427.8,88.6,2,331,8.4,0.6,314.0,59.48
279,407.3,108.9,3,320,10.4,0.6,314.0,95.47
280,423.7,91.1,2,332,8.5,0.7,307.72,51.12
281,410.8,97.5,2,320,10.7,0.5,314.0,59.84
282,475.6,117.4,2,330,12.5,0.8,307.72,50.34
283,419.9,106.6,2,331,11.6,0.6,307.72,52.96
284,447.0,84.9,3,327,8.9,0.8,307.72,60.84
285,456.9,97.8,3,331,12.5,0.8,307.72,52.88
286,473.0,87.1,3,328,11.5,0.7,307.72,61.65
287,412.0,118.8,3,318,12.0,0.8,307.72,74.38
288,407.1,88.5,3,321,8.0,0.6,307.72,100.0
289,405.1,94.7,3,330,7.9,0.7,314.0,89.27
290,420.2,116.4,2,316,9.0,0.7,314.0,70.6
291,417.2,118.4,3,321,11.1,0.8,314.0,80.74
292,455.6,107.2,3,319,11.6,0.7,307.72,87.63
293,426.4,83.4,2,330,8.0,0.5,314.0,71.1
294,416.1,103.4,3,320,12.7,0.5,314.0,86.49
295,405.3,101.5,3,319,9.2,0.7,307.72,90.39
296,441.3,112.7,3,330,11.8,0.7,307.72,82.2
297,463.2,99.1,3,329,10.6,0.6,307.72,98.64
298,432.9,96.2,2,325,8.6,0.7,307.72,58.38
299,462.0,89.6,2,316,8.9,0.7,314.0,58.22
300,423.6,93.9,3,328,9.4,0.8,314.0,66.94
301,442.6,109.5,2,323,7.7,0.7,314.0,79.68
302,429.8,107.0,2,323,7.4,0.8,307.72,72.89
303,476.6,115.7,2,328,11.6,0.7,314.0,58.64
304,454.2,106.9,2,330,7.5,0.7,307.72,83.73
305,467.8,97.5,3,333,10.5,0.8,307.72,72.81
306,455.7,94.8,2,317,8.3,0.5,314.0,93.89
307,447.9,109.8,2,334,11.8,0.5,314.0,70.33
308,404.6,101.9,3,334,11.9,0.8,307.72,57.7
309,421.7,85.2,3,321,11.5,0.5,307.72,81.73
310,403.2,112.8,2,322,9.7,0.6,314.0,68.37
311,430.0,107.4,2,323,12.3,0.6,314.0,59.26
312,465.6,89.5,3,327,11.4,0.8,314.0,60.02
313,441.8,81.2,2,328,7.6,0.6,307.72,65.53
314,402.6,83.6,3,328,8.5,0.5,314.0,98.31
315,425.5,105.5,3,326,11.1,0.6,307.72,94.02
316,436.4,83.1,2,317,7.9,0.5,314.0,75.26
317,428.2,99.4,3,321,10.0,0.8,314.0,66.51
318,406.7,109.6,2,329,7.9,0.7,314.0,72.92
319,471.2,113.0,2,322,8.3,0.7,314.0,88.96
320,474.6,80.1,2,317,8.8,0.5,314.0,67.91
321,470.3,107.0,2,333,7.0,0.8,314.0,77.22
322,466.8,94.2,2,324,8.1,0.5,314.0,90.48
323,466.5,106.3,3,323,9.5,0.8,307.72,85.26
324,407.9,94.4,3,332,10.2,0.7,314.0,63.57
325,477.4,119.4,3,333,12.3,0.7,307.72,92.01
326,417.8,81.4,3,332,9.0,0.8,307.72,58.58
327,432.2,94.7,3,329,8.4,0.7,314.0,88.83
328,430.6,96.6,2,319,8.6,0.5,314.0,84.69
329,419.5,89.3,2,327,12.2,0.5,307.72,52.59
330,432.0,113.2,2,318,10.1,0.8,307.72,58.71
331,451.8,86.2,3,318,11.7,0.7,307.72,55.75
332,456.1,90.8,2,327,8.1,0.6,307.72,71.08
333,414.5,119.3,3,330,12.3,0.7,314.0,75.45
334,436.6,105.5,2,323,7.6,0.6,307.72,87.79
335,457.9,95.9,3,322,9.9,0.7,307.72,82.61
336,432.3,91.6,3,318,7.9,0.7,314.0,95.12
337,446.1,93.2,3,317,11.6,0.6,314.0,74.81
338,408.1,118.9,2,319,7.5,0.8,307.72,84.56
339,460.2,99.5,3,329,9.0,0.7,314.0,88.69
340,437.9,117.3,3,334,11.0,0.8,314.0,75.96
341,402.4,81.0,3,320,10.5,0.7,314.0,51.53
342,464.3,118.4,2,326,10.6,0.7,307.72,69.03
343,411.5,106.5,3,320,10.7,0.8,314.0,72.39
344,421.0,89.7,3,316,10.7,0.6,314.0,75.69
345,415.9,95.9,3,321,7.2,0.8,307.72,91.65
346,437.0,90.9,3,331,9.3,0.8,314.0,68.07
347,418.8,118.7,3,324,9.3,0.8,314.0,97.03
348,425.3,106.1,2,332,11.0,0.6,314.0,55.43
349,457.4,102.6,3,323,10.6,0.7,314.0,85.36
350,421.3,83.4,3,317,7.8,0.7,314.0,83.23
351,432.5,116.9,3,325,10.9,0.7,307.72,95.16
352,473.6,90.3,3,321,7.5,0.8,314.0,91.33
353,408.6,101.8,3,324,10.6,0.8,307.72,68.17
354,426.5,91.7,3,326,11.6,0.5,307.72,81.18
355,444.4,92.8,2,316,11.8,0.5,307.72,58.75
356,421.2,115.2,2,322,7.5,0.7,314.0,89.63
357,460.0,115.1,2,319,11.7,0.7,314.0,60.13
358,415.4,108.6,3,326,12.7,0.5,314.0,90.49
359,413.2,95.7,2,329,9.3,0.6,314.0,62.2
360,445.2,87.8,2,320,9.0,0.6,307.72,56.72
361,424.7,89.7,3,328,8.4,0.7,307.72,76.54
362,452.9,104.7,3,334,10.3,0.7,307.72,86.29
363,437.1,92.8,3,331,8.8,0.8,314.0,69.82
364,465.6,106.3,3,316,10.3,0.8,314.0,81.36
365,415.5,101.0,2,329,9.9,0.7,307.72,50.42
366,451.9,104.4,2,324,11.7,0.6,314.0,63.38
367,426.6,88.4,3,329,11.2,0.6,307.72,65.0
368,414.9,104.9,3,326,7.8,0.8,314.0,93.09
369,421.5,87.5,2,316,12.0,0.5,314.0,55.53
370,475.2,110.8,2,328,10.4,0.8,314.0,54.97
371,444.7,107.4,2,326,10.6,0.6,314.0,68.9
372,470.2,88.1,2,327,9.9,0.6,314.0,60.64
373,442.2,98.7,3,315,11.3,0.7,307.72,78.42
374,450.9,100.7,2,334,11.4,0.5,307.72,73.12
375,454.8,91.3,3,321,11.3,0.5,314.0,91.53
376,424.1,97.4,3,325,8.2,0.7,307.72,90.75
377,453.2,117.6,3,322,11.7,0.7,314.0,96.61
378,470.5,100.0,2,316,8.4,0.6,307.72,88.33
379,433.2,114.4,2,322,9.6,0.7,314.0,69.85
380,412.1,88.3,3,320,7.6,0.8,314.0,76.58
381,404.2,115.9,2,319,11.9,0.6,307.72,63.34
382,430.2,115.2,2,334,8.9,0.8,314.0,64.9
383,478.7,97.0,2,315,8.6,0.8,314.0,61.24
384,432.6,108.7,2,331,8.4,0.8,307.72,65.73
385,442.9,92.9,2,323,11.7,0.6,314.0,53.24
386,436.7,116.4,2,323,11.1,0.6,314.0,73.75
387,450.9,108.2,2,332,10.0,0.8,307.72,55.24
388,446.9,106.0,3,326,10.8,0.8,307.72,74.04
389,442.0,115.1,3,317,9.6,0.8,314.0,94.56
390,455.1,110.7,2,330,11.5,0.8,314.0,52.97
391,432.3,101.5,3,317,11.2,0.8,307.72,65.42
392,461.0,95.5,3,329,9.2,0.8,314.0,70.89
393,412.7,107.9,3,330,9.7,0.7,314.0,87.78
394,477.0,112.0,2,330,9.5,0.8,307.72,62.3
395,423.9,80.2,3,321,7.0,0.7,307.72,88.5
396,414.9,109.5,2,324,12.3,0.6,314.0,50.75
397,466.2,84.0,3,323,7.0,0.7,314.0,99.82
398,436.7,93.8,3,321,10.1,0.8,307.72,62.44
399,451.8,84.1,3,318,9.6,0.7,314.0,66.61
400,465.8,87.5,3,328,10.8,0.5,314.0,92.44
401,420.6,112.9,2,330,7.9,0.8,314.0,71.93
402,439.5,102.6,2,316,10.5,0.6,307.72,65.26
403,473.5,113.9,3,331,10.1,0.8,314.0,88.7
404,416.0,90.7,2,323,8.9,0.5,307.72,68.58
405,479.3,119.7,2,323,11.7,0.5,314.0,94.76
406,403.1,86.9,3,326,11.2,0.6,307.72,60.17
407,415.6,85.2,2,316,9.2,0.6,314.0,52.23
408,431.6,107.5,2,325,9.1,0.5,307.72,95.02
409,443.2,80.2,3,331,11.7,0.6,314.0,60.89
410,471.6,106.6,3,330,12.2,0.7,307.72,75.83
411,419.7,117.4,2,330,12.5,0.7,307.72,54.8
412,401.2,115.2,3,330,10.3,0.7,307.72,89.81
413,456.9,86.0,3,321,9.2,0.8,307.72,66.51
414,406.2,81.6,3,327,12.0,0.6,307.72,54.03
415,428.3,106.7,3,332,11.6,0.8,314.0,67.4
416,445.0,118.7,3,334,12.4,0.7,307.72,87.75
417,401.3,89.5,3,316,8.1,0.6,314.0,89.76
418,469.3,104.9,2,324,9.3,0.5,314.0,97.76
419,423.9,100.2,2,334,12.2,0.6,307.72,52.23
420,451.4,83.9,3,322,12.1,0.5,314.0,79.04
421,473.1,108.4,2,315,9.3,0.6,314.0,87.15
422,459.1,92.4,3,318,10.1,0.6,314.0,87.4
423,460.3,100.8,3,319,11.4,0.8,314.0,65.32
424,417.1,117.4,2,323,7.0,0.7,307.72,93.54
425,420.6,88.0,3,327,9.7,0.5,307.72,94.6
426,443.9,107.2,3,315,11.4,0.8,314.0,71.09
427,449.9,98.3,2,326,10.3,0.5,314.0,71.27
428,445.6,119.6,2,319,10.1,0.6,314.0,89.09
429,478.0,82.0,3,317,12.8,0.7,314.0,52.53
430,466.7,111.8,2,328,12.0,0.8,307.72,52.75
431,461.1,107.2,2,321,12.9,0.5,314.0,73.27
432,426.7,80.5,2,317,9.1,0.6,307.72,53.4
433,432.8,83.7,3,333,9.9,0.7,314.0,57.35
434,401.3,84.6,3,317,8.0,0.8,307.72,67.5
435,450.9,89.4,2,330,9.7,0.6,314.0,51.07
436,468.6,94.3,2,324,9.0,0.7,314.0,54.12
437,464.0,92.5,2,326,9.3,0.5,314.0,79.69
438,424.2,109.4,3,326,9.4,0.8,307.72,87.91
439,461.6,112.2,2,331,10.1,0.7,314.0,67.8
440,402.6,83.7,2,329,8.0,0.5,314.0,67.71
441,447.2,91.0,2,328,9.8,0.7,314.0,50.66
442,451.4,113.6,2,331,10.1,0.8,307.72,54.26
443,419.0,113.4,2,317,12.9,0.6,307.72,59.79
444,463.3,97.6,3,320,12.7,0.6,314.0,72.12
445,465.4,108.6,2,324,12.0,0.6,314.0,66.29
446,442.1,101.0,2,321,8.1,0.5,314.0,95.75
447,453.9,102.9,2,317,9.1,0.6,314.0,74.7
448,438.5,84.1,3,325,8.8,0.8,307.72,64.87
449,455.8,92.5,3,333,10.8,0.5,307.72,94.05
450,456.9,96.2,2,322,10.7,0.5,307.72,71.37
451,422.5,116.3,3,318,12.3,0.8,314.0,68.49
452,411.6,110.3,2,329,8.5,0.7,307.72,66.49
453,448.3,92.8,3,330,11.7,0.7,314.0,57.63
454,461.3,98.5,2,324,10.6,0.5,314.0,77.67
455,478.3,103.5,2,329,11.8,0.5,307.72,77.93
456,405.5,119.2,2,320,8.2,0.6,314.0,94.56
457,430.8,115.8,2,320,9.6,0.7,314.0,74.23
458,458.0,97.5,3,331,12.3,0.6,307.72,81.26
459,457.9,117.3,2,328,7.1,0.8,307.72,86.84
460,426.9,88.8,3,332,10.3,0.5,307.72,92.15
461,442.0,107.8,2,333,7.4,0.7,307.72,81.9
462,416.3,105.5,2,316,9.7,0.7,314.0,55.9
463,431.1,81.1,3,321,12.6,0.6,314.0,50.67
