3 Phase Voltage in Volts,3 Phase Current in Amps,Poles,Frequency in Hz,Power Factor,Temperature in Celcius,% Load,Angular Velocity in rad/sec,Motor Age in Yrs,Efficiency,Reliability,Life Cycle in Yrs
478.8,9.9,3,50,0.8,79,97,85,2,81.89,Moderately,4
460.1,12.9,2,49,0.8,18,108,87,0,88.51,Moderately,7
472.5,9.4,3,50,0.6,58,79,104,2,84.32,Moderately,5
458.6,11.5,3,50,0.5,20,116,87,0,90.13,Strongly,8
416.1,9.7,2,49,0.6,17,89,103,0,89.58,Moderately,8
437.1,12,2,49,0.6,21,110,87,1,84.37,Moderately,6
465.6,11.2,3,49,0.8,44,108,84,0,90.05,Strongly,8
450.4,8.3,3,50,0.5,30,67,113,3,84.22,Moderately,5
478.1,9.8,3,49,0.5,74,55,99,1,87.27,Moderately,7
427.4,7.7,3,49,0.6,61,97,80,1,86.4,Moderately,6
435.7,7,3,50,0.8,15,93,101,0,90.73,Strongly,8
402.7,7.1,2,50,0.5,76,79,90,3,80.62,Moderately,4
422.6,9.8,3,50,0.7,50,52,84,2,82.03,Moderately,4
426.3,12.6,2,49,0.5,29,111,82,0,89.86,Moderately,8
408.4,12.2,2,50,0.7,46,116,96,2,81.44,Moderately,4
450.3,12,3,50,0.6,63,85,85,0,89.24,Moderately,8
464.6,7.4,3,50,0.8,43,99,91,1,85.5,Moderately,6
460.8,10.3,2,49,0.8,37,70,95,0,89.85,Moderately,8
422,7.4,3,49,0.8,78,57,104,3,81,Moderately,4
478.1,12.4,2,50,0.5,23,71,109,3,81.74,Moderately,4
433,9.9,3,49,0.6,69,70,84,1,85.99,Moderately,6
429.8,9.5,3,49,0.7,37,52,92,1,86.2,Moderately,6
423.6,7.3,2,50,0.6,48,113,116,0,91.46,Strongly,9
441.8,7.9,2,50,0.8,26,86,106,3,80.45,Moderately,3
428.7,8.7,3,50,0.5,67,86,82,0,90.08,Strongly,8
463.1,8.8,3,49,0.7,56,53,97,0,91.15,Strongly,9
420,8.8,3,50,0.5,75,85,89,0,91.23,Strongly,9
452,12.7,2,50,0.7,21,108,90,3,79.7,Weekly,3
421,8,2,50,0.6,16,77,80,0,89.24,Moderately,8
451.5,7.1,2,49,0.8,74,104,112,1,86.16,Moderately,6
441.2,12,3,49,0.6,39,63,117,2,83.21,Moderately,5
467,10.8,3,49,0.6,31,104,111,2,83.52,Moderately,5
438.3,8.3,2,49,0.7,60,56,84,3,79.93,Weekly,3
459.3,12.8,2,50,0.8,23,75,91,2,82.37,Moderately,5
477.5,11.7,3,49,0.6,15,54,97,3,81.11,Moderately,4
470.5,7.7,3,49,0.7,66,104,115,0,92.37,Strongly,9
462.8,8.5,2,49,0.7,23,101,81,1,84.57,Moderately,6
453.7,9.2,2,50,0.6,44,79,103,1,85.09,Moderately,6
469.9,12.4,2,50,0.5,31,101,115,2,83.64,Moderately,5
433.2,7.4,3,50,0.7,56,107,81,0,89.72,Moderately,8
446.7,9.2,3,49,0.7,42,107,94,0,90.94,Strongly,9
407.1,8,3,49,0.7,66,79,108,1,85.85,Moderately,6
454.4,11,3,50,0.7,72,101,113,2,82.65,Moderately,5
428,9.4,2,50,0.8,30,53,110,0,90.2,Strongly,8
460.4,11.6,3,49,0.7,65,57,80,1,85.48,Moderately,6
425.6,11.2,2,49,0.7,10,115,110,0,90.29,Strongly,8
400.8,10.5,2,50,0.8,65,93,116,2,81.69,Moderately,4
419.5,7.8,3,49,0.8,16,63,118,2,83.77,Moderately,5
439,11.6,3,50,0.8,25,75,107,2,82.32,Moderately,4
452,12.2,2,50,0.8,10,108,103,2,82.65,Moderately,5
462.5,10.5,2,50,0.7,54,90,117,2,83.18,Moderately,5
467,8,3,50,0.8,52,83,84,1,85.03,Moderately,6
456.7,11.8,3,50,0.8,11,110,99,1,84.95,Moderately,6
472.3,11.5,3,49,0.7,38,76,102,3,80.77,Moderately,4
450.1,11.8,3,50,0.7,48,117,93,0,90.3,Strongly,8
456.3,7,3,50,0.5,70,54,84,2,83.64,Moderately,5
430.1,11.5,3,49,0.8,76,117,111,2,83.17,Moderately,5
418.4,7.9,2,50,0.8,20,93,111,2,82.33,Moderately,4
409.2,12.2,3,50,0.7,12,65,105,2,83.38,Moderately,5
442,7,3,50,0.7,64,55,93,3,81.2,Moderately,4
475.2,8.5,2,50,0.5,33,86,96,0,90.2,Strongly,8
406.2,8.7,2,49,0.5,49,87,88,2,83.21,Moderately,5
459.1,11.7,2,50,0.8,68,83,84,0,88.38,Moderately,7
422.5,11.9,3,50,0.5,68,56,81,0,89.32,Moderately,8
444.5,12.3,3,50,0.8,45,107,100,2,82.96,Moderately,5
427.1,12.2,3,50,0.7,76,66,110,0,90.44,Strongly,8
434,10.8,2,50,0.8,73,75,96,3,79.61,Weekly,3
422.1,9.8,3,49,0.5,32,53,113,2,85.22,Moderately,6
449.7,11.3,2,49,0.6,17,80,97,0,90.27,Strongly,8
476.7,8.2,3,49,0.6,33,66,94,3,81.81,Moderately,4
434.6,10.6,3,49,0.5,33,108,115,1,86.9,Moderately,7
479,11.5,3,50,0.7,78,97,91,1,85.73,Moderately,6
422,12,3,49,0.7,77,50,80,2,81.59,Moderately,4
416.5,8.2,2,49,0.7,42,76,85,2,81.78,Moderately,4
473.6,9.6,2,49,0.6,24,66,102,3,81.72,Moderately,4
415.9,8.4,3,49,0.8,47,75,95,3,81.61,Moderately,4
445.1,8.4,2,49,0.5,52,105,110,3,82.39,Moderately,5
427,11.2,2,49,0.5,10,81,93,2,82.22,Moderately,4
461.9,8.8,3,50,0.5,73,115,101,3,82.91,Moderately,5
448.9,10.8,2,50,0.6,62,81,98,3,81.07,Moderately,4
416.3,12.4,2,50,0.7,75,118,94,3,79.54,Weekly,3
466.6,10.9,3,49,0.8,73,67,92,2,82.95,Moderately,5
426,11.7,3,49,0.8,40,82,93,1,84.58,Moderately,6
403.4,8.1,3,49,0.8,38,84,115,0,90.51,Strongly,8
439,7.2,3,50,0.7,47,62,96,1,86.94,Moderately,7
429,10,2,50,0.8,11,67,110,2,82.99,Moderately,5
407,7.5,2,50,0.6,71,105,84,2,82.9,Moderately,5
470.3,11.3,3,49,0.7,20,98,83,2,82.15,Moderately,4
470.1,8.4,3,49,0.7,51,119,111,2,84.65,Moderately,6
424.5,12.5,2,50,0.6,49,66,86,1,85.13,Moderately,6
423.6,8.9,3,49,0.8,55,64,111,3,81.97,Moderately,4
422.8,9.9,2,50,0.8,43,89,80,3,79.52,Weekly,3
438.3,7.1,2,49,0.8,36,97,103,0,90.61,Strongly,8
403.4,9.7,3,50,0.5,35,103,90,3,81.11,Moderately,4
465.6,10.5,3,50,0.5,26,117,119,3,82.75,Moderately,5
433.3,8.8,2,50,0.8,14,98,116,2,82.36,Moderately,5
442.3,12.6,3,50,0.8,70,115,105,2,81.91,Moderately,4
432.4,12.8,3,49,0.8,17,108,115,2,82.43,Moderately,5
418.6,7.9,2,50,0.8,24,108,95,0,89.12,Moderately,8
435.7,7.6,2,50,0.5,50,90,92,2,82.69,Moderately,5
479.6,10.6,2,50,0.7,42,65,118,3,80.51,Moderately,4
467.7,11.9,3,50,0.5,58,79,113,1,87.27,Moderately,7
452.9,8.7,2,49,0.7,61,73,81,1,85.34,Moderately,6
456.7,11.2,2,50,0.7,28,65,94,0,89.89,Moderately,8
401,12.2,3,50,0.8,42,103,114,2,82.14,Moderately,4
470.1,8.1,3,49,0.6,53,95,95,1,86.24,Moderately,6
434.7,9.8,3,50,0.5,67,81,107,1,86.3,Moderately,6
458.2,11.5,3,49,0.6,45,69,109,3,81.25,Moderately,4
425.8,10.9,2,49,0.8,70,95,102,1,85.2,Moderately,6
459.1,12.4,2,49,0.6,47,66,96,1,84.47,Moderately,6
475.1,12.3,3,50,0.6,46,61,83,2,82.1,Moderately,4
428.5,12.2,2,50,0.5,50,68,101,0,90.23,Strongly,8
450,11.4,3,50,0.5,79,55,88,0,89.7,Moderately,8
476.2,7.8,3,49,0.5,19,112,97,2,84.88,Moderately,6
459.2,10.3,2,50,0.8,60,108,92,1,85.18,Moderately,6
441.3,9.8,2,49,0.7,58,92,97,3,80,Weekly,3
430.8,12.8,2,50,0.7,24,110,84,1,85.02,Moderately,6
429.3,8.4,3,49,0.8,56,84,118,0,91.54,Strongly,9
450,9.8,2,50,0.6,27,84,95,3,80.32,Moderately,3
464.4,7.8,2,49,0.8,39,75,116,0,89.92,Moderately,8
479,11.9,2,50,0.5,44,80,101,0,90.52,Strongly,8
441.5,12.2,3,49,0.6,45,113,104,0,90.94,Strongly,9
457.9,10.8,3,50,0.7,40,56,95,3,81.55,Moderately,4
427.4,11.1,2,49,0.8,25,51,93,2,81.5,Moderately,4
440.2,10,2,50,0.7,52,101,89,3,80.8,Moderately,4
456.9,9.8,2,49,0.8,21,104,99,0,90.08,Strongly,8
448.1,11.1,3,50,0.6,26,119,99,3,82,Moderately,4
430.2,10.2,2,49,0.8,43,95,110,1,85.55,Moderately,6
465,10.3,3,49,0.5,11,63,87,3,82.49,Moderately,5
437.9,12.1,3,50,0.7,78,61,103,3,80.28,Moderately,3
447,11.8,2,50,0.8,50,76,108,2,81.6,Moderately,4
475.3,11.9,3,50,0.6,43,78,114,0,91.52,Strongly,9
430.7,11.4,2,50,0.7,19,51,105,0,89.06,Moderately,8
415.9,10.9,2,49,0.8,12,75,111,1,84.58,Moderately,6
401.5,8.5,3,49,0.8,20,67,113,2,83.13,Moderately,5
455.8,9.3,3,49,0.6,76,56,100,1,85.77,Moderately,6
428.5,7.5,3,49,0.8,35,51,93,0,90.03,Strongly,8
434.4,11.9,2,49,0.5,21,56,83,2,81.83,Moderately,4
452.3,11.6,3,49,0.8,73,100,115,1,85.08,Moderately,6
411.6,9.5,3,50,0.5,24,68,97,0,91.78,Strongly,9
455.1,9,3,49,0.6,11,54,112,0,92.78,Strongly,9
466.1,9.2,2,50,0.7,27,64,103,3,81.43,Moderately,4
427.9,12.1,2,49,0.5,45,110,88,3,79.99,Weekly,3
470.3,12.5,2,49,0.5,11,89,88,3,81.25,Moderately,4
450.4,7.8,3,49,0.7,12,113,96,3,81.62,Moderately,4
410.1,12.4,2,50,0.6,24,56,110,1,84.67,Moderately,6
461.5,9.8,3,49,0.7,58,106,117,3,82.48,Moderately,5
447.9,12.1,2,49,0.6,58,82,88,3,79.78,Weekly,3
479.1,8.6,2,49,0.8,68,52,105,0,89.27,Moderately,8
478,11.7,2,50,0.8,37,84,93,1,85.18,Moderately,6
479.1,7.8,3,50,0.5,30,108,81,2,83.69,Moderately,5
439.8,10.7,3,50,0.8,61,51,113,0,89.68,Moderately,8
433.5,7.2,3,50,0.5,39,66,99,3,83.68,Moderately,5
439.7,7.8,2,50,0.5,50,118,81,2,83.29,Moderately,5
449.2,7.7,3,49,0.8,59,58,88,3,81.64,Moderately,4
452.8,8.6,2,49,0.8,49,112,80,2,82.53,Moderately,5
442.1,11.9,3,49,0.7,50,100,87,1,84.62,Moderately,6
463,11.9,2,49,0.7,25,73,114,1,84.82,Moderately,6
455.9,9.8,2,50,0.8,32,78,108,3,81.16,Moderately,4
472.3,12.4,2,50,0.8,64,54,81,1,84.86,Moderately,6
462.9,10.5,3,50,0.7,19,103,84,0,89.48,Moderately,8
439,8.7,2,50,0.5,75,86,114,1,85.71,Moderately,6
440.7,11.6,2,50,0.6,64,52,114,2,83.07,Moderately,5
413.5,11.8,2,50,0.7,27,118,87,3,79.61,Weekly,3
471.3,12.8,2,50,0.6,42,82,86,0,89.73,Moderately,8
438.2,8,3,49,0.8,33,91,109,0,91.59,Strongly,9
435.5,11.1,3,50,0.5,16,118,109,1,87.53,Moderately,7
421.6,8.8,2,50,0.8,74,67,87,0,88.61,Moderately,7
477.4,9.5,3,49,0.8,57,112,106,3,81.92,Moderately,4
439.2,11.4,3,49,0.7,39,74,104,0,90.77,Strongly,8
437.9,11,2,49,0.5,70,89,114,0,89.79,Moderately,8
436.5,12.7,3,49,0.8,33,96,111,2,83.25,Moderately,5
406.7,12.8,2,49,0.5,11,89,110,3,81.53,Moderately,4
413.5,9.9,2,50,0.7,53,59,117,0,89.32,Moderately,8
434.4,11.8,2,49,0.6,11,83,85,1,85.39,Moderately,6
403.2,7.4,2,49,0.5,20,64,101,1,86.97,Moderately,7
420.8,9.8,3,49,0.7,60,86,97,0,90.63,Strongly,8
435.7,9.9,3,49,0.8,69,83,109,3,80.65,Moderately,4
415.9,7,2,50,0.8,35,102,93,0,89.2,Moderately,8
457.5,7.2,2,50,0.7,34,81,109,1,85.58,Moderately,6
455.6,8,3,49,0.5,23,59,91,3,83.31,Moderately,5
463.8,8.3,2,50,0.7,43,98,92,1,85.74,Moderately,6
401.9,7.5,3,50,0.7,64,84,108,0,90.5,Strongly,8
459.7,12.2,3,50,0.6,24,59,95,0,89.81,Moderately,8
433.1,10,3,50,0.5,55,99,97,0,91.47,Strongly,9
440.6,10.7,3,50,0.8,55,84,82,1,85.4,Moderately,6
420,9,2,49,0.7,12,98,97,3,80.27,Moderately,3
445.8,7.9,3,49,0.7,61,50,83,3,80.67,Moderately,4
444.9,9.3,3,50,0.5,26,104,111,0,91.91,Strongly,9
461.4,9.6,2,50,0.7,56,55,86,2,81.63,Moderately,4
440.2,12.2,2,50,0.7,44,87,85,2,81.35,Moderately,4
422.9,8.4,2,50,0.5,30,70,87,3,81.57,Moderately,4
421.3,11.8,2,50,0.5,17,54,115,2,82.62,Moderately,5
459.6,9.4,2,50,0.5,72,109,86,0,90.29,Strongly,8
475.6,8.2,2,50,0.7,36,74,118,2,82.91,Moderately,5
417.7,8.3,2,50,0.6,45,66,113,2,82.71,Moderately,5
408.8,8.7,2,49,0.6,14,93,107,2,82.67,Moderately,5
401.3,11.6,2,49,0.6,29,57,105,2,81.95,Moderately,4
466.8,10.8,2,49,0.8,51,103,116,2,81.98,Moderately,4
400.4,10.4,2,50,0.8,15,106,81,2,82.31,Moderately,4
442.4,7.7,3,49,0.6,47,78,104,0,92.35,Strongly,9
438.4,12.4,2,49,0.7,23,80,86,1,85.13,Moderately,6
470.6,10.2,2,50,0.7,40,98,114,3,80.46,Moderately,4
408.7,7.6,3,49,0.7,37,102,94,2,83.94,Moderately,5
423.9,8.4,2,50,0.6,34,103,103,3,81.67,Moderately,4
471.4,8.4,2,49,0.5,44,87,111,1,87.26,Moderately,7
437.5,9.6,2,49,0.7,79,84,113,2,83.08,Moderately,5
438.4,7.6,3,50,0.5,12,71,115,3,84.95,Moderately,6
437.5,8.3,3,50,0.5,19,81,92,3,82.04,Moderately,4
415,8.3,2,49,0.7,54,114,99,1,84.73,Moderately,6
424.9,9.1,2,49,0.7,28,86,106,1,85.93,Moderately,6
479.8,9.8,2,49,0.8,59,77,113,2,82.07,Moderately,4
431.6,10.9,3,49,0.6,17,95,112,3,82.6,Moderately,5
429.6,9.9,2,50,0.7,71,94,104,1,84.5,Moderately,6
439.5,8,2,50,0.5,18,103,112,2,83.65,Moderately,5
448.3,10.8,2,49,0.7,71,75,119,1,84.81,Moderately,6
474.7,8.8,3,50,0.8,45,85,112,0,91.46,Strongly,9
411.5,7.8,3,49,0.7,60,119,91,3,81.8,Moderately,4
472.5,8.7,3,50,0.7,35,114,95,1,86.69,Moderately,7
463,12.2,3,50,0.8,28,119,115,2,83.53,Moderately,5
454,11,2,49,0.7,44,69,104,1,85.59,Moderately,6
471.2,11.9,2,49,0.5,53,87,116,3,80.87,Moderately,4
404,11,2,49,0.7,35,88,89,0,88.66,Moderately,8
426.8,8.5,2,49,0.5,41,57,103,2,82.9,Moderately,5
449.1,12.9,3,50,0.8,10,100,98,0,90.25,Strongly,8
422.2,9.6,3,49,0.6,61,87,80,1,84.92,Moderately,6
417.2,11.7,2,50,0.8,59,70,99,3,80.58,Moderately,4
427,9.8,2,49,0.6,19,64,111,2,82.59,Moderately,5
449.3,11.6,3,49,0.6,75,107,104,0,89.88,Moderately,8
439.3,8.5,2,50,0.7,22,94,95,2,82.09,Moderately,4
445,11.8,3,49,0.5,23,72,103,0,91.73,Strongly,9
425.3,9.5,2,49,0.7,60,81,107,2,82,Moderately,4
402.9,10.4,2,50,0.8,59,89,118,1,84.47,Moderately,6
410.3,10.6,3,49,0.6,28,102,101,3,82.02,Moderately,4
460.3,8.9,2,49,0.5,13,68,108,1,86.19,Moderately,6
452.1,11.7,3,50,0.6,40,106,117,0,91.58,Strongly,9
425.4,11.2,2,50,0.7,12,68,101,0,90.01,Strongly,8
422.5,9.2,3,49,0.6,45,71,87,1,85.34,Moderately,6
468.1,9.1,3,49,0.6,59,51,114,3,83.09,Moderately,5
413.8,7.2,2,50,0.5,10,53,95,1,85.88,Moderately,6
457.2,11.7,3,50,0.5,17,66,85,1,86.47,Moderately,7
437.9,8.2,2,50,0.6,16,73,98,0,89.84,Moderately,8
425,7.6,3,49,0.6,68,108,111,3,83.15,Moderately,5
473.7,8.4,2,49,0.8,78,98,103,2,82.98,Moderately,5
468.8,7.8,3,50,0.5,39,66,105,2,84.91,Moderately,6
435.1,10.2,3,49,0.5,65,53,93,3,82.13,Moderately,4
408.8,9.8,3,50,0.5,54,73,86,3,81.83,Moderately,4
476.8,9.4,2,49,0.5,21,67,94,1,85.49,Moderately,6
467.5,7.7,2,49,0.6,72,75,100,3,81.78,Moderately,4
421.2,12.3,3,49,0.5,52,92,108,2,84.06,Moderately,5
458.4,9.9,2,50,0.7,20,86,83,1,85.37,Moderately,6
447.4,12.6,2,49,0.8,13,56,105,3,80.86,Moderately,4
461.3,9.1,3,49,0.6,15,75,107,0,92.44,Strongly,9
427.4,11.7,2,50,0.7,33,69,89,0,88.63,Moderately,8
465.1,12.2,3,49,0.7,76,100,81,3,79.91,Weekly,3
404.5,11.3,3,50,0.7,36,76,88,1,84.61,Moderately,6
421.4,12,3,49,0.6,67,106,94,3,81.36,Moderately,4
435.1,9.8,2,50,0.5,16,111,105,1,86.54,Moderately,7
451.2,12.1,2,50,0.8,50,54,113,3,80.87,Moderately,4
409.5,9.8,2,49,0.5,41,64,107,2,83.61,Moderately,5
456.3,9.7,3,49,0.8,42,65,91,2,82.23,Moderately,4
438.8,10.1,2,50,0.6,58,109,89,2,81.75,Moderately,4
409,10,3,50,0.6,67,115,97,3,81.68,Moderately,4
439.5,7.7,2,50,0.5,31,64,102,1,85.96,Moderately,6
478.4,11.4,3,49,0.8,45,72,92,3,80.24,Moderately,3
430.3,11.4,2,50,0.5,48,82,100,0,90.34,Strongly,8
460.9,8.6,3,49,0.7,65,92,86,0,90.71,Strongly,8
457.5,7.8,3,50,0.8,19,56,118,0,92.31,Strongly,9
432.9,8.4,3,50,0.5,18,54,101,0,92.73,Strongly,9
409.9,7.8,2,50,0.8,65,59,116,0,89.41,Moderately,8
467.3,7.4,2,50,0.5,21,73,95,1,86.05,Moderately,6
425.6,9.1,3,49,0.6,37,96,112,1,87.52,Moderately,7
425.6,11.9,3,50,0.5,79,60,104,1,85.48,Moderately,6
462.5,10.4,3,49,0.8,62,118,116,1,85.48,Moderately,6
400.4,11.7,2,50,0.8,16,116,82,1,83.91,Moderately,5
439.5,10.4,3,49,0.8,44,107,82,1,85.52,Moderately,6
473.1,7.3,3,50,0.7,11,117,85,0,91.55,Strongly,9
464.7,12.6,2,50,0.5,23,91,97,1,84.85,Moderately,6
439.4,7.6,2,50,0.7,55,92,92,1,85.74,Moderately,6
471.3,8.1,3,50,0.6,23,76,83,2,83.15,Moderately,5
462.2,9.2,3,49,0.7,56,114,94,1,85.37,Moderately,6
468.7,8.8,2,50,0.8,43,108,114,3,80.46,Moderately,4
401.6,11.7,2,50,0.7,16,89,111,1,84.55,Moderately,6
448.9,7.7,2,49,0.6,10,79,83,0,90.63,Strongly,8
421,11.7,3,49,0.5,21,56,113,1,87.47,Moderately,7
405.6,8.3,3,49,0.7,15,93,87,1,86.36,Moderately,6
400.1,11.8,3,50,0.7,50,112,114,3,81.59,Moderately,4
402.9,9.9,3,49,0.8,28,58,102,1,85.08,Moderately,6
430.5,12.4,3,50,0.6,68,100,99,2,82.23,Moderately,4
443.9,9.5,2,49,0.7,65,68,112,0,89.4,Moderately,8
425.6,12,2,50,0.8,46,76,108,3,80.75,Moderately,4
455.2,11.4,3,49,0.7,64,78,105,1,86.17,Moderately,6
454.7,10.6,2,50,0.7,47,109,117,2,82.17,Moderately,4
445.1,7.7,2,49,0.7,71,79,89,0,89.14,Moderately,8
443.3,9.4,2,49,0.5,18,74,80,2,83.18,Moderately,5
430.2,7.2,3,50,0.8,17,113,99,3,82.34,Moderately,4
458.4,10.4,2,49,0.5,28,95,93,3,81.56,Moderately,4
426.4,11.3,3,50,0.7,56,91,104,3,80.49,Moderately,4
416.3,11.1,3,50,0.5,30,83,105,2,83.3,Moderately,5
467.1,12.7,3,49,0.7,54,113,99,2,83.18,Moderately,5
439.3,12.5,2,49,0.8,10,100,92,0,88.61,Moderately,8
456.7,8.9,2,50,0.7,31,95,81,0,89.9,Moderately,8
457.3,7.7,3,49,0.7,77,54,91,3,80.96,Moderately,4
418.2,7,2,49,0.5,64,76,88,3,80.79,Moderately,4
414,9.3,2,49,0.5,42,116,113,3,82.13,Moderately,4
424.2,9.2,2,50,0.8,35,108,88,2,82.54,Moderately,5
436.6,8.4,2,50,0.5,21,65,112,1,86.2,Moderately,6
446.9,7.3,2,50,0.5,33,100,108,0,92.02,Strongly,9
464.9,12,2,49,0.5,66,71,99,1,85.8,Moderately,6
422.9,10.2,2,49,0.8,37,75,109,2,81.83,Moderately,4
462.3,12.6,2,50,0.8,18,76,95,0,88.64,Moderately,8
455.2,7.3,3,49,0.7,43,77,117,0,92.86,Strongly,9
410,10.1,3,49,0.7,13,50,113,0,91.46,Strongly,9
455.1,7.6,3,50,0.5,77,57,105,2,85.4,Moderately,6
454.7,8,3,50,0.7,62,108,101,2,83.08,Moderately,5
440.8,9.7,2,50,0.5,60,58,102,0,89.7,Moderately,8
409.1,9.9,3,49,0.5,34,100,81,0,90.92,Strongly,9
457.6,11.8,2,50,0.8,16,100,87,0,89.58,Moderately,8
432.1,9.8,3,49,0.6,14,108,118,0,91.51,Strongly,9
433.1,7,2,49,0.6,20,103,111,1,86.24,Moderately,6
456.3,7.9,3,50,0.8,61,68,97,2,83.66,Moderately,5
417.4,9.2,3,50,0.7,46,107,109,1,85.66,Moderately,6
441.2,8.6,3,50,0.7,37,73,106,1,86.96,Moderately,7
452.4,7.6,3,50,0.5,12,57,115,1,89.85,Moderately,8
479.5,11.5,2,50,0.6,77,90,115,1,85.9,Moderately,6
458.9,11.4,2,49,0.5,35,73,110,0,89.94,Moderately,8
428.8,9.6,2,50,0.7,35,114,106,3,81.24,Moderately,4
414,8.8,3,49,0.7,26,113,104,1,85.82,Moderately,6
463.6,9.5,2,49,0.6,43,55,81,0,90.04,Strongly,8
403.6,8.7,3,49,0.6,25,114,93,0,90.33,Strongly,8
471.2,11.3,3,49,0.8,78,75,92,1,85.59,Moderately,6
461.9,12.8,3,49,0.7,67,78,80,1,85.35,Moderately,6
428.9,9.8,3,50,0.8,38,59,80,2,81.81,Moderately,4
453,9.1,2,50,0.6,41,52,114,3,80.92,Moderately,4
455.7,7.7,2,50,0.6,16,75,84,2,83.34,Moderately,5
474.3,11.3,2,49,0.8,15,113,114,2,82.07,Moderately,4
452.9,12.5,2,49,0.5,25,84,98,0,90.41,Strongly,8
400.2,11,2,50,0.7,31,74,106,1,85.46,Moderately,6
401.4,12.3,3,50,0.7,60,107,112,0,89.45,Moderately,8
431.1,8.3,2,50,0.8,29,91,82,1,85.28,Moderately,6
475.3,9.9,2,50,0.5,21,71,80,1,84.85,Moderately,6
467,8,3,49,0.8,12,80,93,3,81.16,Moderately,4
452.8,12.5,2,50,0.5,41,61,90,3,80.05,Moderately,3
440.2,12.5,3,50,0.6,26,100,107,2,82.77,Moderately,5
439.2,11,3,49,0.6,27,82,113,3,81.57,Moderately,4
425.3,10.4,2,49,0.5,38,99,88,2,83.04,Moderately,5
414.1,10.8,3,50,0.8,77,76,116,1,84.99,Moderately,6
444.3,10.9,3,49,0.7,58,107,104,2,83.5,Moderately,5
478.9,7.6,2,50,0.6,46,63,96,3,80.84,Moderately,4
411.9,10.1,3,49,0.7,24,92,85,3,81.34,Moderately,4
439,12.6,2,50,0.6,16,63,115,2,83.21,Moderately,5
414.5,10.2,3,50,0.6,31,99,102,3,81.08,Moderately,4
424,7.8,3,49,0.7,51,106,114,2,84.69,Moderately,6
